DATASET,MODEL,BACKBONE,ACC,PRECISION_MACRO,RECALL_MACRO,F1_MACRO
artgraph,APE,Custom_FSL1_RN50,4.617737003058105,2.085499853552183,4.418402777777778,2.1690198995893466
artgraph,APE,Custom_FSL4_RN50,5.290519877675841,2.7488042369598817,5.121527777777778,2.624074674171287
artgraph,APE,RN50,53.883792048929664,54.925460304838204,53.71527777777777,49.72670853363388
artgraph,GDA_CLIP,Custom_FSL1_RN50,27.15596330275229,28.561055553243058,26.84027777777778,25.483210417033945
artgraph,GDA_CLIP,Custom_FSL4_RN50,35.16819571865443,38.350848225848225,34.791666666666664,33.741083535201184
artgraph,GDA_CLIP,RN50,55.535168195718654,58.23556564962816,54.96527777777777,52.661093502086146
artgraph,TIMO,Custom_FSL1_RN50,21.773700305810397,21.377685393310394,21.354166666666664,19.752002797039562
artgraph,TIMO,Custom_FSL4_RN50,23.425076452599388,24.998733615921115,23.055555555555554,22.130629786879787
artgraph,TIMO,RN50,56.48318042813455,59.137366973304474,55.90277777777777,53.95745567427068
artgraph,TIMO_S,Custom_FSL1_RN50,23.24159021406728,23.03647712241462,22.8125,21.193682185869687
artgraph,TIMO_S,Custom_FSL4_RN50,26.36085626911315,28.686966390091392,25.97222222222222,25.26608692233692
artgraph,TIMO_S,RN50,57.2782874617737,59.7717511076886,56.744791666666664,54.54884865270894
artgraph,Tip_Adapter,Custom_FSL1_RN50,1.3761467889908257,0.0413705970866043,1.3975694444444442,0.0784296372394977
artgraph,Tip_Adapter,Custom_FSL4_RN50,1.2844036697247705,0.02274452420112087,1.189236111111111,0.04366957183148162
artgraph,Tip_Adapter,RN50,44.95412844036697,39.15567157640977,44.375,37.18713264738134
