DATASET,MODEL,BACKBONE,ACC,PRECISION_MACRO,RECALL_MACRO,F1_MACRO
artgraph,APE,Custom_FSL1_RN50,3.5474006116207955,1.5064668106261905,3.506944444444444,1.5136803146280107
artgraph,APE,Custom_FSL4_RN50,3.394495412844037,2.0270897616776162,3.3767361111111107,1.7081122735200158
artgraph,APE,RN50,47.09480122324159,47.769854073622454,46.64930555555556,42.37257063040732
artgraph,GDA_CLIP,Custom_FSL1_RN50,20.948012232415902,21.789163238381988,20.59027777777778,19.40321935922265
artgraph,GDA_CLIP,Custom_FSL4_RN50,25.96330275229358,27.347758144633143,25.477430555555554,24.216188732757036
artgraph,GDA_CLIP,RN50,47.217125382263,47.89951399873275,46.41493055555555,42.46836105001656
artgraph,TIMO,Custom_FSL1_RN50,12.140672782874617,11.818713982776483,11.866319444444445,10.776389655307998
artgraph,TIMO,Custom_FSL4_RN50,13.547400611620796,13.66746072214822,13.211805555555554,12.159856867669367
artgraph,TIMO,RN50,47.88990825688073,48.42613078657406,47.31770833333333,43.723073312257746
artgraph,TIMO_S,Custom_FSL1_RN50,13.761467889908257,13.841877162189661,13.45486111111111,12.442349091826646
artgraph,TIMO_S,Custom_FSL4_RN50,15.382262996941895,15.688604219854222,15.017361111111109,13.921585784177694
artgraph,TIMO_S,RN50,48.65443425076453,48.7832323756037,47.951388888888886,43.98020758892953
artgraph,Tip_Adapter,Custom_FSL1_RN50,1.1926605504587156,0.02288251346032949,1.189236111111111,0.04433150720077924
artgraph,Tip_Adapter,Custom_FSL4_RN50,1.1926605504587156,0.01691832405976214,1.0763888888888886,0.033069996051133685
artgraph,Tip_Adapter,RN50,40.73394495412844,32.99438541979177,40.32986111111111,32.581819715473515
