SEED,SHOTS,DATASET,MODEL,BACKBONE,AVG ACC
5,1,artgraph,Tip_Adapter,RN50,38.837920489296636
5,1,artgraph,APE,RN50,45.25993883792049
5,1,artgraph,GDA_CLIP,RN50,40.36697247706422
5,1,artgraph,TIMO,RN50,42.50764525993884
5,1,artgraph,TIMO_S,RN50,42.813455657492355
5,2,artgraph,Tip_Adapter,RN50,41.896024464831804
5,2,artgraph,APE,RN50,48.92966360856269
5,2,artgraph,GDA_CLIP,RN50,45.56574923547401
5,2,artgraph,TIMO,RN50,46.48318042813456
5,2,artgraph,TIMO_S,RN50,48.92966360856269
5,4,artgraph,Tip_Adapter,RN50,46.48318042813456
5,4,artgraph,APE,RN50,53.211009174311926
5,4,artgraph,GDA_CLIP,RN50,56.269113149847094
5,4,artgraph,TIMO,RN50,57.79816513761468
5,4,artgraph,TIMO_S,RN50,57.49235474006116
5,8,artgraph,Tip_Adapter,RN50,48.01223241590214
5,8,artgraph,APE,RN50,60.55045871559633
5,8,artgraph,GDA_CLIP,RN50,61.7737003058104
5,8,artgraph,TIMO,RN50,63.30275229357798
5,8,artgraph,TIMO_S,RN50,61.7737003058104
5,16,artgraph,Tip_Adapter,RN50,49.84709480122324
5,16,artgraph,APE,RN50,60.85626911314985
5,16,artgraph,GDA_CLIP,RN50,70.9480122324159
5,16,artgraph,TIMO,RN50,70.03058103975535
5,16,artgraph,TIMO_S,RN50,70.64220183486239
6,1,artgraph,Tip_Adapter,RN50,37.920489296636084
6,1,artgraph,APE,RN50,44.03669724770642
6,1,artgraph,GDA_CLIP,RN50,40.97859327217125
6,1,artgraph,TIMO,RN50,44.95412844036697
6,1,artgraph,TIMO_S,RN50,45.87155963302752
6,2,artgraph,Tip_Adapter,RN50,39.75535168195719
6,2,artgraph,APE,RN50,45.87155963302752
6,2,artgraph,GDA_CLIP,RN50,46.788990825688074
6,2,artgraph,TIMO,RN50,48.01223241590214
6,2,artgraph,TIMO_S,RN50,47.706422018348626
6,4,artgraph,Tip_Adapter,RN50,44.03669724770642
6,4,artgraph,APE,RN50,55.96330275229358
6,4,artgraph,GDA_CLIP,RN50,56.269113149847094
6,4,artgraph,TIMO,RN50,57.49235474006116
6,4,artgraph,TIMO_S,RN50,57.79816513761468
6,8,artgraph,Tip_Adapter,RN50,49.54128440366973
