Model 1,Model 2,Shots,Metric,Model 1 Mean,Model 2 Mean,Difference,t-statistic,p-value,Significant (p<0.05)
TIMO_Custom_FSL1_RN50,TIMO_Custom_FSL4_RN50,1,ACC,6.972477064220183,7.370030581039755,-0.3975535168195714,-0.5787471376035471,0.5769544423117727,False
TIMO_Custom_FSL1_RN50,TIMO_RN50,1,ACC,6.972477064220183,43.883792048929664,-36.91131498470948,-44.36687172215829,7.503028213347498e-12,True
TIMO_Custom_FSL1_RN50,TIMO_S_Custom_FSL1_RN50,1,ACC,6.972477064220183,7.278287461773699,-0.3058103975535156,-1.3416407864998734,0.21257989232273608,False
TIMO_Custom_FSL1_RN50,TIMO_S_Custom_FSL4_RN50,1,ACC,6.972477064220183,7.308868501529052,-0.336391437308869,-0.48714125543388,0.6378030472882998,False
TIMO_Custom_FSL1_RN50,TIMO_S_RN50,1,ACC,6.972477064220183,45.963302752293586,-38.9908256880734,-55.76370558693528,9.650979429754084e-13,True
TIMO_Custom_FSL1_RN50,Tip_Adapter_Custom_FSL1_RN50,1,ACC,6.972477064220183,1.3149847094801221,5.657492354740061,8.558742948361264,1.2856679421640923e-05,True
TIMO_Custom_FSL1_RN50,Tip_Adapter_Custom_FSL4_RN50,1,ACC,6.972477064220183,1.1314984709480123,5.840978593272171,8.917275420234573,9.2074234521597e-06,True
TIMO_Custom_FSL1_RN50,Tip_Adapter_RN50,1,ACC,6.972477064220183,38.654434250764524,-31.68195718654434,-44.20198563391219,7.757635965971634e-12,True
TIMO_Custom_FSL1_RN50,APE_Custom_FSL1_RN50,1,ACC,6.972477064220183,2.0489296636085625,4.923547400611621,6.770658437765144,8.171600480617036e-05,True
TIMO_Custom_FSL1_RN50,APE_Custom_FSL4_RN50,1,ACC,6.972477064220183,2.4770642201834865,4.4954128440366965,6.138632861497275,0.0001710527590646956,True
TIMO_Custom_FSL1_RN50,APE_RN50,1,ACC,6.972477064220183,44.31192660550458,-37.339449541284395,-76.22983016747762,5.820987783927893e-14,True
TIMO_Custom_FSL1_RN50,GDA_CLIP_Custom_FSL1_RN50,1,ACC,6.972477064220183,13.48623853211009,-6.513761467889906,-8.929424513601786,9.105599456091164e-06,True
TIMO_Custom_FSL1_RN50,GDA_CLIP_Custom_FSL4_RN50,1,ACC,6.972477064220183,16.330275229357795,-9.357798165137613,-14.12474858987843,1.8994527889586622e-07,True
TIMO_Custom_FSL1_RN50,GDA_CLIP_RN50,1,ACC,6.972477064220183,41.40672782874618,-34.43425076452599,-52.2232393710073,1.7387738295864461e-12,True
TIMO_Custom_FSL4_RN50,TIMO_RN50,1,ACC,7.370030581039755,43.883792048929664,-36.51376146788991,-70.74024687051278,1.1394078509150786e-13,True
TIMO_Custom_FSL4_RN50,TIMO_S_Custom_FSL1_RN50,1,ACC,7.370030581039755,7.278287461773699,0.09174311926605583,0.12178853915516,0.9057424355027551,False
TIMO_Custom_FSL4_RN50,TIMO_S_Custom_FSL4_RN50,1,ACC,7.370030581039755,7.308868501529052,0.061162079510702405,0.4803844614152615,0.6424151377207891,False
TIMO_Custom_FSL4_RN50,TIMO_S_RN50,1,ACC,7.370030581039755,45.963302752293586,-38.59327217125383,-50.610631548447095,2.303897977523352e-12,True
TIMO_Custom_FSL4_RN50,Tip_Adapter_Custom_FSL1_RN50,1,ACC,7.370030581039755,1.3149847094801221,6.055045871559633,9.396664157949742,5.991608246480351e-06,True
TIMO_Custom_FSL4_RN50,Tip_Adapter_Custom_FSL4_RN50,1,ACC,7.370030581039755,1.1314984709480123,6.238532110091743,11.056229415007842,1.5421551467659179e-06,True
TIMO_Custom_FSL4_RN50,Tip_Adapter_RN50,1,ACC,7.370030581039755,38.654434250764524,-31.284403669724767,-57.1775127345796,7.70830944662356e-13,True
TIMO_Custom_FSL4_RN50,APE_Custom_FSL1_RN50,1,ACC,7.370030581039755,2.0489296636085625,5.321100917431192,7.610914557933447,3.28918411958058e-05,True
TIMO_Custom_FSL4_RN50,APE_Custom_FSL4_RN50,1,ACC,7.370030581039755,2.4770642201834865,4.892966360856269,9.449990771497896,5.718436920166097e-06,True
TIMO_Custom_FSL4_RN50,APE_RN50,1,ACC,7.370030581039755,44.31192660550458,-36.941896024464825,-68.0510884166944,1.6140077406449906e-13,True
