DATASET,MODEL,BACKBONE,ACC,PRECISION_MACRO,RECALL_MACRO,F1_MACRO
artgraph,APE,Custom_FSL1_RN50,2.0489296636085625,0.9267869629192935,2.048611111111111,0.870544808204982
artgraph,APE,Custom_FSL4_RN50,2.477064220183486,0.8059870463756657,2.439236111111111,0.8363527339229246
artgraph,APE,RN50,44.31192660550458,44.419927192905135,43.94097222222222,39.75858247986247
artgraph,GDA_CLIP,Custom_FSL1_RN50,13.48623853211009,13.88192514525235,13.229166666666666,11.979953726828727
artgraph,GDA_CLIP,Custom_FSL4_RN50,16.3302752293578,17.483821863139298,16.076388888888886,14.615274907515408
artgraph,GDA_CLIP,RN50,41.406727828746185,38.86063532074466,40.76388888888889,35.32592723652289
artgraph,TIMO,Custom_FSL1_RN50,6.972477064220183,6.875827586765086,6.814236111111112,6.127444667547222
artgraph,TIMO,Custom_FSL4_RN50,7.370030581039755,7.567806036556037,7.170138888888888,6.685804935804936
artgraph,TIMO,RN50,43.883792048929664,44.3172037147221,43.51562499999999,40.291962922018065
artgraph,TIMO_S,Custom_FSL1_RN50,7.278287461773701,7.271932928182929,7.109375,6.381398370828518
artgraph,TIMO_S,Custom_FSL4_RN50,7.308868501529052,7.555330086580087,7.12673611111111,6.629332473082473
artgraph,TIMO_S,RN50,45.963302752293586,44.472965965564654,45.53819444444444,41.068853859594746
artgraph,Tip_Adapter,Custom_FSL1_RN50,1.3149847094801221,0.03289265488139938,1.3368055555555551,0.06298880539025752
artgraph,Tip_Adapter,Custom_FSL4_RN50,1.1314984709480123,0.01423499869962061,1.0156249999999996,0.028018629585882648
artgraph,Tip_Adapter,RN50,38.654434250764524,30.849328670644944,38.37673611111111,30.917586834729537
