,APE\_Custom\_FSL1\_RN50,APE\_Custom\_FSL4\_RN50,APE\_RN50,GDA\_CLIP\_Custom\_FSL1\_RN50,GDA\_CLIP\_Custom\_FSL4\_RN50,GDA\_CLIP\_RN50,TIMO\_Custom\_FSL1\_RN50,TIMO\_Custom\_FSL4\_RN50,TIMO\_RN50,TIMO\_S\_Custom\_FSL1\_RN50,TIMO\_S\_Custom\_FSL4\_RN50,TIMO\_S\_RN50,Tip\_Adapter\_Custom\_FSL1\_RN50,Tip\_Adapter\_Custom\_FSL4\_RN50,Tip\_Adapter\_RN50
APE\_Custom\_FSL1\_RN50,0.00,-2.17*,-52.75*,-28.90*,-41.62*,-58.26*,-25.29*,-33.03*,-59.91*,-26.82*,-35.54*,-59.72*,3.64*,3.98*,-43.09*
APE\_Custom\_FSL4\_RN50,2.17*,0.00,-50.58*,-26.73*,-39.45*,-56.09*,-23.12*,-30.86*,-57.74*,-24.65*,-33.36*,-57.55*,5.81*,6.15*,-40.92*
APE\_RN50,52.75*,50.58*,0.00,23.85*,11.13*,-5.50*,27.46*,19.72*,-7.16*,25.93*,17.22*,-6.97*,56.39*,56.73*,9.66*
GDA\_CLIP\_Custom\_FSL1\_RN50,28.90*,26.73*,-23.85*,0.00,-12.72*,-29.36*,3.61*,-4.13*,-31.01*,2.08*,-6.64*,-30.83*,32.54*,32.87*,-14.19*
GDA\_CLIP\_Custom\_FSL4\_RN50,41.62*,39.45*,-11.13*,12.72*,0.00,-16.64*,16.33*,8.59*,-18.29*,14.80*,6.09*,-18.10*,45.26*,45.60*,-1.47
GDA\_CLIP\_RN50,58.26*,56.09*,5.50*,29.36*,16.64*,0.00,32.97*,25.23*,-1.65*,31.44*,22.72*,-1.47,61.90*,62.23*,15.17*
TIMO\_Custom\_FSL1\_RN50,25.29*,23.12*,-27.46*,-3.61*,-16.33*,-32.97*,0.00,-7.74*,-34.62*,-1.53*,-10.24*,-34.43*,28.93*,29.27*,-17.80*
TIMO\_Custom\_FSL4\_RN50,33.03*,30.86*,-19.72*,4.13*,-8.59*,-25.23*,7.74*,0.00,-26.88*,6.21*,-2.51*,-26.70*,36.67*,37.00*,-10.06*
TIMO\_RN50,59.91*,57.74*,7.16*,31.01*,18.29*,1.65*,34.62*,26.88*,0.00,33.09*,24.37*,0.18,63.55*,63.88*,16.82*
TIMO\_S\_Custom\_FSL1\_RN50,26.82*,24.65*,-25.93*,-2.08*,-14.80*,-31.44*,1.53*,-6.21*,-33.09*,0.00,-8.72*,-32.91*,30.46*,30.80*,-16.27*
TIMO\_S\_Custom\_FSL4\_RN50,35.54*,33.36*,-17.22*,6.64*,-6.09*,-22.72*,10.24*,2.51*,-24.37*,8.72*,0.00,-24.19*,39.17*,39.51*,-7.55*
TIMO\_S\_RN50,59.72*,57.55*,6.97*,30.83*,18.10*,1.47,34.43*,26.70*,-0.18,32.91*,24.19*,0.00,63.36*,63.70*,16.64*
Tip\_Adapter\_Custom\_FSL1\_RN50,-3.64*,-5.81*,-56.39*,-32.54*,-45.26*,-61.90*,-28.93*,-36.67*,-63.55*,-30.46*,-39.17*,-63.36*,0.00,0.34,-46.73*
Tip\_Adapter\_Custom\_FSL4\_RN50,-3.98*,-6.15*,-56.73*,-32.87*,-45.60*,-62.23*,-29.27*,-37.00*,-63.88*,-30.80*,-39.51*,-63.70*,-0.34,0.00,-47.06*
Tip\_Adapter\_RN50,43.09*,40.92*,-9.66*,14.19*,1.47,-15.17*,17.80*,10.06*,-16.82*,16.27*,7.55*,-16.64*,46.73*,47.06*,0.00
