,APE\_Custom\_FSL1\_RN50,APE\_Custom\_FSL4\_RN50,APE\_RN50,GDA\_CLIP\_Custom\_FSL1\_RN50,GDA\_CLIP\_Custom\_FSL4\_RN50,GDA\_CLIP\_RN50,TIMO\_Custom\_FSL1\_RN50,TIMO\_Custom\_FSL4\_RN50,TIMO\_RN50,TIMO\_S\_Custom\_FSL1\_RN50,TIMO\_S\_Custom\_FSL4\_RN50,TIMO\_S\_RN50,Tip\_Adapter\_Custom\_FSL1\_RN50,Tip\_Adapter\_Custom\_FSL4\_RN50,Tip\_Adapter\_RN50
APE\_Custom\_FSL1\_RN50,0.00,0.15,-43.55*,-17.40*,-22.42*,-43.67*,-8.59*,-10.00*,-44.34*,-10.21*,-11.83*,-45.11*,2.35*,2.35*,-37.19*
APE\_Custom\_FSL4\_RN50,-0.15,0.00,-43.70*,-17.55*,-22.57*,-43.82*,-8.75*,-10.15*,-44.50*,-10.37*,-11.99*,-45.26*,2.20*,2.20*,-37.34*
APE\_RN50,43.55*,43.70*,0.00,26.15*,21.13*,-0.12,34.95*,33.55*,-0.80,33.33*,31.71*,-1.56*,45.90*,45.90*,6.36*
GDA\_CLIP\_Custom\_FSL1\_RN50,17.40*,17.55*,-26.15*,0.00,-5.02*,-26.27*,8.81*,7.40*,-26.94*,7.19*,5.57*,-27.71*,19.76*,19.76*,-19.79*
GDA\_CLIP\_Custom\_FSL4\_RN50,22.42*,22.57*,-21.13*,5.02*,0.00,-21.25*,13.82*,12.42*,-21.93*,12.20*,10.58*,-22.69*,24.77*,24.77*,-14.77*
GDA\_CLIP\_RN50,43.67*,43.82*,0.12,26.27*,21.25*,0.00,35.08*,33.67*,-0.67,33.46*,31.83*,-1.44*,46.02*,46.02*,6.48*
TIMO\_Custom\_FSL1\_RN50,8.59*,8.75*,-34.95*,-8.81*,-13.82*,-35.08*,0.00,-1.41,-35.75*,-1.62*,-3.24*,-36.51*,10.95*,10.95*,-28.59*
TIMO\_Custom\_FSL4\_RN50,10.00*,10.15*,-33.55*,-7.40*,-12.42*,-33.67*,1.41,0.00,-34.34*,-0.21,-1.83*,-35.11*,12.35*,12.35*,-27.19*
TIMO\_RN50,44.34*,44.50*,0.80,26.94*,21.93*,0.67,35.75*,34.34*,0.00,34.13*,32.51*,-0.76,46.70*,46.70*,7.16*
TIMO\_S\_Custom\_FSL1\_RN50,10.21*,10.37*,-33.33*,-7.19*,-12.20*,-33.46*,1.62*,0.21,-34.13*,0.00,-1.62,-34.89*,12.57*,12.57*,-26.97*
TIMO\_S\_Custom\_FSL4\_RN50,11.83*,11.99*,-31.71*,-5.57*,-10.58*,-31.83*,3.24*,1.83*,-32.51*,1.62,0.00,-33.27*,14.19*,14.19*,-25.35*
TIMO\_S\_RN50,45.11*,45.26*,1.56*,27.71*,22.69*,1.44*,36.51*,35.11*,0.76,34.89*,33.27*,0.00,47.46*,47.46*,7.92*
Tip\_Adapter\_Custom\_FSL1\_RN50,-2.35*,-2.20*,-45.90*,-19.76*,-24.77*,-46.02*,-10.95*,-12.35*,-46.70*,-12.57*,-14.19*,-47.46*,0.00,0.00,-39.54*
Tip\_Adapter\_Custom\_FSL4\_RN50,-2.35*,-2.20*,-45.90*,-19.76*,-24.77*,-46.02*,-10.95*,-12.35*,-46.70*,-12.57*,-14.19*,-47.46*,-0.00,0.00,-39.54*
Tip\_Adapter\_RN50,37.19*,37.34*,-6.36*,19.79*,14.77*,-6.48*,28.59*,27.19*,-7.16*,26.97*,25.35*,-7.92*,39.54*,39.54*,0.00
