DATASET,MODEL,BACKBONE,ACC,PRECISION_MACRO,RECALL_MACRO,F1_MACRO
artgraph,APE,Custom_FSL1_RN50,5.351681957186544,2.568025354232185,5.269097222222221,2.5684092042136886
artgraph,APE,Custom_FSL4_RN50,7.522935779816514,4.707608888338371,7.352430555555555,4.4217234061718615
artgraph,APE,RN50,58.103975535168196,58.93553408397158,57.96875,54.03185332505185
artgraph,GDA_CLIP,Custom_FSL1_RN50,34.25076452599389,35.76000330687831,33.932291666666664,32.550425558238054
artgraph,GDA_CLIP,Custom_FSL4_RN50,46.972477064220186,50.151710557960556,46.423611111111114,45.54745428182928
artgraph,GDA_CLIP,RN50,63.608562691131496,67.18288297010723,63.19444444444444,61.57093196155696
artgraph,TIMO,Custom_FSL1_RN50,30.642201834862384,30.612807042494545,30.486111111111107,28.70972495766904
artgraph,TIMO,Custom_FSL4_RN50,38.379204892966364,40.4554270960521,37.89930555555556,36.51556603119103
artgraph,TIMO,RN50,65.25993883792049,68.42943948412699,64.93055555555556,63.66344477281977
artgraph,TIMO_S,Custom_FSL1_RN50,32.171253822629964,33.1416583994709,31.91840277777778,30.491052350427346
artgraph,TIMO_S,Custom_FSL4_RN50,40.8868501529052,43.56766555204055,40.40798611111111,39.13263935138935
artgraph,TIMO_S,RN50,65.07645259938838,68.2510333994709,64.74826388888889,63.454451220076216
artgraph,Tip_Adapter,Custom_FSL1_RN50,1.712538226299694,0.21449541746355213,1.7187499999999996,0.23969221550943418
artgraph,Tip_Adapter,Custom_FSL4_RN50,1.3761467889908254,0.03373582049064666,1.2847222222222219,0.06356872645682213
artgraph,Tip_Adapter,RN50,48.440366972477065,45.25988407876953,47.99479166666667,41.19705450508932
